,Katun_RGB,Sutra_RGB,Polyester_RGB,Rayon_RGB
mean_R,169.85248776679106,164.66168442637473,166.0182667290091,151.67561677545245
mean_G,166.067967757126,163.48555959292153,162.43431007938986,148.0560336203669
mean_B,163.66478309707935,159.22529255046922,160.3639276109749,141.56801505067048
contrast_R,0.4205638779088259,1.2008073853738563,0.2744508106796887,3.1787793622876963
dissimilarity_R,0.36658032905296206,0.6727853678226813,0.2695066631619232,1.2427558809970536
homogeneity_R,0.8221053216294113,0.711582326445639,0.8657410668842834,0.5451376686936358
energy_R,0.4116096198855141,0.2494495530100131,0.4608896581294555,0.1736201328982432
correlation_R,0.7272893301814255,0.79256569054451,0.7770098720863536,0.6165827684356752
asm_R,0.17189462657138455,0.06298600958723771,0.21447510981033632,0.03038016751150898
entropy_R,12.324944586980541,18.437238276348236,10.764049812849679,22.53434156641581
contrast_G,0.42519904013492893,1.2012042029183791,0.27658601256221027,3.181624661900062
dissimilarity_G,0.3709090282525519,0.6732461459651128,0.2715881595274462,1.2441294641725062
homogeneity_G,0.8199716097986872,0.711355428554479,0.8647056878195046,0.5447321854576803
energy_G,0.40018791101564116,0.24339109110378485,0.45735840880799805,0.17291368129745552
correlation_G,0.7456721774549392,0.8153307530187084,0.7839538446944415,0.6169142046735037
asm_G,0.16228086952221862,0.05995079581567385,0.211406819930934,0.030135125584070714
entropy_G,12.622517500883017,18.751166777919828,10.919177964497901,22.554786695493913
contrast_B,0.4254201017477837,1.2013931096006287,0.2772591656480671,3.166880181540951
dissimilarity_B,0.37115694211581507,0.6734927683303744,0.2723435518724768,1.2404466044211964
homogeneity_B,0.8198449645168048,0.7112181839036978,0.8643197675737135,0.5456148157142037
energy_B,0.3904625291487458,0.24217164757679713,0.45473090021765594,0.17404545212195352
correlation_B,0.7642582284156682,0.8080242560682892,0.7879482444696015,0.6189563974752103
asm_B,0.15419794101698164,0.05936915753984196,0.20914171954117283,0.030527157222346436
entropy_B,12.8909193329782,18.72128080737043,10.985115657923568,22.517990410905156
